territorio,escenario,indicador,valor
QUINDIO,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,971
RISARALDA,Mayo 2026 - Primera vuelta,Potencial,878829
RISARALDA,Junio 2026 - Segunda vuelta proyectada,Potencial,878829
RISARALDA,Mayo 2026 - Primera vuelta,Sufragantes,515679
RISARALDA,Junio 2026 - Segunda vuelta proyectada,Sufragantes,497547
RISARALDA,Mayo 2026 - Primera vuelta,Votos válidos,505941
RISARALDA,Junio 2026 - Segunda vuelta proyectada,Votos válidos,493037
RISARALDA,Mayo 2026 - Primera vuelta,Votos por candidatos,495484
RISARALDA,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,470391
RISARALDA,Mayo 2026 - Primera vuelta,Voto en blanco,10457
RISARALDA,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,22646
RISARALDA,Mayo 2026 - Primera vuelta,Votos nulos,8216
RISARALDA,Junio 2026 - Segunda vuelta proyectada,Votos nulos,3505
RISARALDA,Mayo 2026 - Primera vuelta,Votos no marcados,1522
RISARALDA,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,1005
SAN ANDRES,Mayo 2026 - Primera vuelta,Potencial,53790
SAN ANDRES,Junio 2026 - Segunda vuelta proyectada,Potencial,53790
SAN ANDRES,Mayo 2026 - Primera vuelta,Sufragantes,18117
SAN ANDRES,Junio 2026 - Segunda vuelta proyectada,Sufragantes,18462
SAN ANDRES,Mayo 2026 - Primera vuelta,Votos válidos,18000
SAN ANDRES,Junio 2026 - Segunda vuelta proyectada,Votos válidos,18372
SAN ANDRES,Mayo 2026 - Primera vuelta,Votos por candidatos,17331
SAN ANDRES,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,17352
SAN ANDRES,Mayo 2026 - Primera vuelta,Voto en blanco,669
SAN ANDRES,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,1020
SAN ANDRES,Mayo 2026 - Primera vuelta,Votos nulos,86
SAN ANDRES,Junio 2026 - Segunda vuelta proyectada,Votos nulos,56
SAN ANDRES,Mayo 2026 - Primera vuelta,Votos no marcados,31
SAN ANDRES,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,34
SANTANDER,Mayo 2026 - Primera vuelta,Potencial,1861932
SANTANDER,Junio 2026 - Segunda vuelta proyectada,Potencial,1861932
SANTANDER,Mayo 2026 - Primera vuelta,Sufragantes,1210680
SANTANDER,Junio 2026 - Segunda vuelta proyectada,Sufragantes,1171009
SANTANDER,Mayo 2026 - Primera vuelta,Votos válidos,1199031
SANTANDER,Junio 2026 - Segunda vuelta proyectada,Votos válidos,1170375
SANTANDER,Mayo 2026 - Primera vuelta,Votos por candidatos,1181043
SANTANDER,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,1134741
SANTANDER,Mayo 2026 - Primera vuelta,Voto en blanco,17988
SANTANDER,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,35634
SANTANDER,Mayo 2026 - Primera vuelta,Votos nulos,10100
SANTANDER,Junio 2026 - Segunda vuelta proyectada,Votos nulos,516
SANTANDER,Mayo 2026 - Primera vuelta,Votos no marcados,1549
SANTANDER,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,118
SUCRE,Mayo 2026 - Primera vuelta,Potencial,761233
SUCRE,Junio 2026 - Segunda vuelta proyectada,Potencial,761233
SUCRE,Mayo 2026 - Primera vuelta,Sufragantes,404305
SUCRE,Junio 2026 - Segunda vuelta proyectada,Sufragantes,454087
SUCRE,Mayo 2026 - Primera vuelta,Votos válidos,400478
SUCRE,Junio 2026 - Segunda vuelta proyectada,Votos válidos,451962
SUCRE,Mayo 2026 - Primera vuelta,Votos por candidatos,395445
SUCRE,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,444337
SUCRE,Mayo 2026 - Primera vuelta,Voto en blanco,5033
SUCRE,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,7625
SUCRE,Mayo 2026 - Primera vuelta,Votos nulos,2682
SUCRE,Junio 2026 - Segunda vuelta proyectada,Votos nulos,1583
SUCRE,Mayo 2026 - Primera vuelta,Votos no marcados,1145
SUCRE,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,542
TOLIMA,Mayo 2026 - Primera vuelta,Potencial,1170701
TOLIMA,Junio 2026 - Segunda vuelta proyectada,Potencial,1170701
TOLIMA,Mayo 2026 - Primera vuelta,Sufragantes,683249
TOLIMA,Junio 2026 - Segunda vuelta proyectada,Sufragantes,659923
TOLIMA,Mayo 2026 - Primera vuelta,Votos válidos,672211
TOLIMA,Junio 2026 - Segunda vuelta proyectada,Votos válidos,651117
TOLIMA,Mayo 2026 - Primera vuelta,Votos por candidatos,660453
TOLIMA,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,629114
TOLIMA,Mayo 2026 - Primera vuelta,Voto en blanco,11758
TOLIMA,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,22003
TOLIMA,Mayo 2026 - Primera vuelta,Votos nulos,9281
TOLIMA,Junio 2026 - Segunda vuelta proyectada,Votos nulos,6972
TOLIMA,Mayo 2026 - Primera vuelta,Votos no marcados,1757
TOLIMA,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,1834
VALLE,Mayo 2026 - Primera vuelta,Potencial,3793190
VALLE,Junio 2026 - Segunda vuelta proyectada,Potencial,3793190
VALLE,Mayo 2026 - Primera vuelta,Sufragantes,2133237
VALLE,Junio 2026 - Segunda vuelta proyectada,Sufragantes,2103142
VALLE,Mayo 2026 - Primera vuelta,Votos válidos,2106201
VALLE,Junio 2026 - Segunda vuelta proyectada,Votos válidos,2103142
VALLE,Mayo 2026 - Primera vuelta,Votos por candidatos,2066204
VALLE,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,2033034
VALLE,Mayo 2026 - Primera vuelta,Voto en blanco,39997
VALLE,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,70108
VALLE,Mayo 2026 - Primera vuelta,Votos nulos,23275
VALLE,Junio 2026 - Segunda vuelta proyectada,Votos nulos,0
VALLE,Mayo 2026 - Primera vuelta,Votos no marcados,3761
VALLE,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,0
VAUPES,Mayo 2026 - Primera vuelta,Potencial,26110
VAUPES,Junio 2026 - Segunda vuelta proyectada,Potencial,26110
VAUPES,Mayo 2026 - Primera vuelta,Sufragantes,9254
VAUPES,Junio 2026 - Segunda vuelta proyectada,Sufragantes,10371
VAUPES,Mayo 2026 - Primera vuelta,Votos válidos,9178
VAUPES,Junio 2026 - Segunda vuelta proyectada,Votos válidos,9983
VAUPES,Mayo 2026 - Primera vuelta,Votos por candidatos,9037
VAUPES,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,9730
VAUPES,Mayo 2026 - Primera vuelta,Voto en blanco,141
VAUPES,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,253
VAUPES,Mayo 2026 - Primera vuelta,Votos nulos,46
VAUPES,Junio 2026 - Segunda vuelta proyectada,Votos nulos,197
VAUPES,Mayo 2026 - Primera vuelta,Votos no marcados,30
VAUPES,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,191
VICHADA,Mayo 2026 - Primera vuelta,Potencial,57355
VICHADA,Junio 2026 - Segunda vuelta proyectada,Potencial,57355
VICHADA,Mayo 2026 - Primera vuelta,Sufragantes,21571
VICHADA,Junio 2026 - Segunda vuelta proyectada,Sufragantes,24085
VICHADA,Mayo 2026 - Primera vuelta,Votos válidos,21307
VICHADA,Junio 2026 - Segunda vuelta proyectada,Votos válidos,23217
VICHADA,Mayo 2026 - Primera vuelta,Votos por candidatos,20973
VICHADA,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,22685
VICHADA,Mayo 2026 - Primera vuelta,Voto en blanco,334
VICHADA,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,532
VICHADA,Mayo 2026 - Primera vuelta,Votos nulos,169
VICHADA,Junio 2026 - Segunda vuelta proyectada,Votos nulos,496
VICHADA,Mayo 2026 - Primera vuelta,Votos no marcados,95
VICHADA,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,372
