territorio,escenario,indicador,valor
BOGOTA D.C.,Junio 2026 - Segunda vuelta proyectada,Sufragantes,3910550
BOGOTA D.C.,Mayo 2026 - Primera vuelta,Votos válidos,4094508
BOGOTA D.C.,Junio 2026 - Segunda vuelta proyectada,Votos válidos,3910550
BOGOTA D.C.,Mayo 2026 - Primera vuelta,Votos por candidatos,4024364
BOGOTA D.C.,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,3743896
BOGOTA D.C.,Mayo 2026 - Primera vuelta,Voto en blanco,70144
BOGOTA D.C.,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,166654
BOGOTA D.C.,Mayo 2026 - Primera vuelta,Votos nulos,33279
BOGOTA D.C.,Junio 2026 - Segunda vuelta proyectada,Votos nulos,0
BOGOTA D.C.,Mayo 2026 - Primera vuelta,Votos no marcados,2297
BOGOTA D.C.,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,0
BOLIVAR,Mayo 2026 - Primera vuelta,Potencial,1791159
BOLIVAR,Junio 2026 - Segunda vuelta proyectada,Potencial,1791159
BOLIVAR,Mayo 2026 - Primera vuelta,Sufragantes,827020
BOLIVAR,Junio 2026 - Segunda vuelta proyectada,Sufragantes,898822
BOLIVAR,Mayo 2026 - Primera vuelta,Votos válidos,820699
BOLIVAR,Junio 2026 - Segunda vuelta proyectada,Votos válidos,892065
BOLIVAR,Mayo 2026 - Primera vuelta,Votos por candidatos,807418
BOLIVAR,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,868841
BOLIVAR,Mayo 2026 - Primera vuelta,Voto en blanco,13281
BOLIVAR,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,23224
BOLIVAR,Mayo 2026 - Primera vuelta,Votos nulos,4542
BOLIVAR,Junio 2026 - Segunda vuelta proyectada,Votos nulos,5017
BOLIVAR,Mayo 2026 - Primera vuelta,Votos no marcados,1779
BOLIVAR,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,1740
BOYACA,Mayo 2026 - Primera vuelta,Potencial,1039293
BOYACA,Junio 2026 - Segunda vuelta proyectada,Potencial,1039293
BOYACA,Mayo 2026 - Primera vuelta,Sufragantes,677633
BOYACA,Junio 2026 - Segunda vuelta proyectada,Sufragantes,636387
BOYACA,Mayo 2026 - Primera vuelta,Votos válidos,669162
BOYACA,Junio 2026 - Segunda vuelta proyectada,Votos válidos,633511
BOYACA,Mayo 2026 - Primera vuelta,Votos por candidatos,658822
BOYACA,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,611396
BOYACA,Mayo 2026 - Primera vuelta,Voto en blanco,10340
BOYACA,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,22115
BOYACA,Mayo 2026 - Primera vuelta,Votos nulos,7362
BOYACA,Junio 2026 - Segunda vuelta proyectada,Votos nulos,2358
BOYACA,Mayo 2026 - Primera vuelta,Votos no marcados,1109
BOYACA,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,518
CALDAS,Mayo 2026 - Primera vuelta,Potencial,828671
CALDAS,Junio 2026 - Segunda vuelta proyectada,Potencial,828671
CALDAS,Mayo 2026 - Primera vuelta,Sufragantes,502807
CALDAS,Junio 2026 - Segunda vuelta proyectada,Sufragantes,479949
CALDAS,Mayo 2026 - Primera vuelta,Votos válidos,491259
CALDAS,Junio 2026 - Segunda vuelta proyectada,Votos válidos,470989
CALDAS,Mayo 2026 - Primera vuelta,Votos por candidatos,481427
CALDAS,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,448519
CALDAS,Mayo 2026 - Primera vuelta,Voto en blanco,9832
CALDAS,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,22470
