departamento,partido,candidato,votos,codigo_candidato,nombre_candidato,tipo_registro,estado_primera_vuelta,bloque_referencia_2v,departamento_nombre,municipios,puestos,mesas,total_votos_mmv,votos_validos,pct_validos,pct_total_mmv,abstencion_estimada_depto,potencial
68,15,12,147,12,SERGIO FAJARDO,CANDIDATO,ELIMINADO,DIVIDIDO,VAUPES,6,28,88,9254,9178,0.0160165613423403,0.0158850226928895,16856,26110
68,20,6,16,6,MIGUEL URIBE,CANDIDATO,ELIMINADO,ABELARDO,VAUPES,6,28,88,9254,9178,0.0017432991937241,0.0017289820618111,16856,26110
68,21,10,8,10,GUSTAVO MATAMORROS,CANDIDATO,ELIMINADO,INCIERTO,VAUPES,6,28,88,9254,9178,0.000871649596862,0.0008644910309055,16856,26110
68,22,8,17,8,ROY BARRERAS,CANDIDATO,ELIMINADO,CEPEDA,VAUPES,6,28,88,9254,9178,0.0018522553933318,0.0018370434406743,16856,26110
68,26,1,6932,1,IVAN CEPEDA,CANDIDATO,PASA_A_SEGUNDA,CEPEDA,VAUPES,6,28,88,9254,9178,0.7552843756809763,0.7490814782796629,16856,26110
68,1001,3,52,3,SANTIAGO BOTERO,CANDIDATO,ELIMINADO,INCIERTO,VAUPES,6,28,88,9254,9178,0.0056657223796034,0.0056191917008861,16856,26110
68,1002,7,12,7,SONDRA MACOLLINS,CANDIDATO,ELIMINADO,INCIERTO,VAUPES,6,28,88,9254,9178,0.001307474395293,0.0012967365463583,16856,26110
68,1003,4,1379,4,ABELARDO DE LA ESPRIELLA,CANDIDATO,PASA_A_SEGUNDA,ABELARDO,VAUPES,6,28,88,9254,9178,0.1502505992590978,0.1490166414523449,16856,26110
68,1004,2,69,2,CLAUDIA LOPEZ,CANDIDATO,ELIMINADO,CEPEDA,VAUPES,6,28,88,9254,9178,0.0075179777729352,0.0074562351415604,16856,26110
68,1005,13,5,13,LUIS GILBERTO MURILLO,CANDIDATO,ELIMINADO,CEPEDA,VAUPES,6,28,88,9254,9178,0.0005447809980387,0.0005403068943159,16856,26110
