departamento,municipio,departamento_nombre,municipio_nombre,total_votos_mmv,votos_validos,ABELARDO DE LA ESPRIELLA,CARLOS CAICEDO,CLAUDIA LOPEZ,GUSTAVO MATAMORROS,IVAN CEPEDA,LUIS GILBERTO MURILLO,MAURICIO LIZCANO,MIGUEL URIBE,NO MARCADOS,PALOMA VALENCIA,ROY BARRERAS,SANTIAGO BOTERO,SERGIO FAJARDO,SONDRA MACOLLINS,VOTO EN BLANCO,VOTO NULO,votos_abelardo,votos_cepeda,margen_abelardo_vs_cepeda,ganador_2v_base,margen_abs,margen_pp_validos,voto_blanco,voto_nulo,no_marcados,abstencion_estimada,bolsa_indefinida,score_disputa,score_oportunidad,potencial
7,85,BOYACA,EL ESPINO,1334,1325,916,1,2,0,154,0,2,1,4,210,0,8,20,1,10,5,916,154,762,ABELARDO DE LA ESPRIELLA,762,0.5750943396226416,10,5,4,850.0,869.0,0.12288483555289512,0.8317451752543288,2184.0
7,88,BOYACA,FIRAVITOBA,3595,3550,1461,2,66,3,1384,1,9,6,6,367,2,25,139,4,81,39,1461,1384,77,ABELARDO DE LA ESPRIELLA,77,0.0216901408450704,81,39,6,2439.0,2565.0,2.5796617859509317,20.250612131247383,6034.0
7,91,BOYACA,FLORESTA,2446,2431,1578,0,32,0,485,1,3,5,6,218,0,14,63,2,30,9,1578,485,1093,ABELARDO DE LA ESPRIELLA,1093,0.4496092143150966,30,9,6,1121.0,1166.0,0.16963257045888974,1.1979777196580308,3567.0
7,94,BOYACA,GACHANTIVA,1847,1813,1176,1,6,0,368,0,5,4,9,186,3,11,30,3,20,25,1176,368,808,ABELARDO DE LA ESPRIELLA,808,0.4456701599558742,20,25,9,1163.0,1217.0,0.16466493288482348,1.1699386586883433,3010.0
7,97,BOYACA,GAMEZA,2543,2520,1791,0,16,0,387,0,9,6,3,202,2,21,50,7,29,20,1791,387,1404,ABELARDO DE LA ESPRIELLA,1404,0.5571428571428572,29,20,3,1474.0,1526.0,0.13810296345167616,1.0124411533936426,4017.0
7,100,BOYACA,GARAGOA,8295,8186,4280,4,115,1,2534,7,15,13,9,601,4,85,362,10,155,100,4280,2534,1746,ABELARDO DE LA ESPRIELLA,1746,0.213290984607867,155,100,9,4316.0,4580.0,0.40352291093166676,3.401566023286072,12611.0
7,103,BOYACA,GUACAMAYAS,885,875,593,0,4,0,151,0,2,1,1,93,1,2,15,2,11,9,593,151,442,ABELARDO DE LA ESPRIELLA,442,0.5051428571428571,11,9,1,668.0,689.0,0.13152402284124998,0.8597319749878055,1553.0
7,106,BOYACA,GUATEQUE,5748,5673,2901,3,60,0,1827,1,14,6,9,519,2,52,176,4,108,66,2901,1827,1074,ABELARDO DE LA ESPRIELLA,1074,0.1893178212585933,108,66,9,3429.0,3612.0,0.4336616545770182,3.5526836542304197,9177.0
7,109,BOYACA,GUAYATA,2454,2432,1748,1,11,0,378,1,3,4,10,199,0,20,33,1,33,12,1748,378,1370,ABELARDO DE LA ESPRIELLA,1370,0.5633223684210527,33,12,10,1437.0,1492.0,0.13599469987986634,0.9939230843105009,3891.0
7,112,BOYACA,GUICAN,1644,1615,812,0,10,0,590,1,2,0,6,118,0,13,35,2,32,23,812,590,222,ABELARDO DE LA ESPRIELLA,222,0.1374613003095975,32,23,6,1432.0,1493.0,0.5009930892763335,3.6618648832651948,3076.0
7,118,BOYACA,IZA,1460,1446,826,1,16,1,373,2,3,2,1,144,2,9,50,1,16,13,826,373,453,ABELARDO DE LA ESPRIELLA,453,0.3132780082987552,16,13,1,815.0,845.0,0.22510803518395428,1.5173450691603627,2275.0
7,121,BOYACA,JENESANO,3885,3843,2441,2,26,1,992,1,10,7,9,195,1,33,90,5,39,33,2441,992,1449,ABELARDO DE LA ESPRIELLA,1449,0.3770491803278688,39,33,9,2584.0,2665.0,0.2132614972365528,1.6822780263302806,6469.0
7,124,BOYACA,JERICO,1808,1779,1422,1,7,1,166,0,12,4,15,132,4,8,12,4,6,14,1422,166,1256,ABELARDO DE LA ESPRIELLA,1256,0.7060146149522204,6,14,15,1561.0,1596.0,0.10452815469116594,0.7709873501724281,3369.0
7,127,BOYACA,LABRANZAGRANDE,1886,1872,1422,1,11,0,299,0,3,3,6,69,0,16,22,13,13,8,1422,299,1123,ABELARDO DE LA ESPRIELLA,1123,0.5998931623931624,13,8,6,1270.0,1297.0,0.12355109332389146,0.885685883886641,3156.0
7,130,BOYACA,LA CAPILLA,1559,1546,1018,1,9,0,315,0,2,2,3,118,3,18,41,3,16,10,1018,315,703,ABELARDO DE LA ESPRIELLA,703,0.4547218628719275,16,10,3,900.0,929.0,0.15803157624622055,1.0801749940827288,2459.0
7,136,BOYACA,LA UVITA,1428,1421,1048,0,17,0,164,0,1,0,1,139,0,8,19,2,23,6,1048,164,884,ABELARDO DE LA ESPRIELLA,884,0.6220971147079521,23,6,1,962.0,992.0,0.11485291486763773,0.7925690314820774,2390.0
7,137,BOYACA,LA VICTORIA,728,719,474,0,3,0,162,0,2,0,2,57,1,4,6,3,7,7,474,162,312,ABELARDO DE LA ESPRIELLA,312,0.4339360222531293,7,7,2,858.0,874.0,0.14820268872568887,1.0039581939879838,1586.0
7,139,BOYACA,VILLA DE LEIVA,10124,10037,5160,1,98,1,3142,2,9,14,17,778,3,72,586,5,166,70,5160,3142,2018,ABELARDO DE LA ESPRIELLA,2018,0.2010560924579057,166,70,17,3980.0,4233.0,0.43657271689764654,3.6457761718836212,14104.0
7,142,BOYACA,MACANAL,2141,2122,1403,2,19,0,394,3,7,2,2,171,3,22,58,2,36,17,1403,394,1009,ABELARDO DE LA ESPRIELLA,1009,0.4754948162111216,36,17,2,1513.0,1568.0,0.15778923287971802,1.1610437476240787,3654.0
7,148,BOYACA,MARIPI,2840,2826,1996,1,4,0,341,3,8,5,6,383,3,37,27,4,14,8,1996,341,1655,ABELARDO DE LA ESPRIELLA,1655,0.5856334041047417,14,8,6,3092.0,3120.0,0.13342051172630542,1.0734892616969218,5932.0
7,151,BOYACA,MIRAFLORES,5073,5026,2562,3,40,1,1900,8,4,3,8,238,1,48,115,3,100,39,2562,1900,662,ABELARDO DE LA ESPRIELLA,662,0.1317150815758058,100,39,8,2556.0,2703.0,0.601388262203674,4.752463186921735,7629.0
7,154,BOYACA,MONGUA,2912,2892,2280,1,10,1,375,1,1,1,5,156,2,16,31,2,15,15,2280,375,1905,ABELARDO DE LA ESPRIELLA,1905,0.6587136929460581,15,15,5,1186.0,1221.0,0.11918477801559,0.8471944998745222,4098.0
7,157,BOYACA,MONGUI,2791,2766,1546,0,28,1,766,1,2,4,2,291,0,22,74,4,27,23,1546,766,780,ABELARDO DE LA ESPRIELLA,780,0.281995661605206,27,23,2,1235.0,1287.0,0.27142591558441226,1.9436391565752482,4026.0
7,160,BOYACA,MONIQUIRA,12702,12501,6697,2,128,2,3719,4,15,20,22,1242,10,113,371,13,165,179,6697,3719,2978,ABELARDO DE LA ESPRIELLA,2978,0.238220942324614,165,179,22,7310.0,7676.0,0.38005028190388523,3.399923788548525,20012.0
7,161,BOYACA,MOTAVITA,3702,3648,1710,0,34,1,1528,1,8,3,3,186,1,15,104,3,54,51,1710,1528,182,ABELARDO DE LA ESPRIELLA,182,0.0498903508771929,54,51,3,2133.0,2241.0,1.3695375492548612,10.566151472316646,5835.0
7,163,BOYACA,MUZO,3994,3934,2318,0,15,5,1160,1,7,7,8,244,4,60,57,4,52,52,2318,1160,1158,ABELARDO DE LA ESPRIELLA,1158,0.2943568886629384,52,52,8,3515.0,3627.0,0.271972361040221,2.2292042716685705,7509.0
7,166,BOYACA,NOBSA,10169,10063,3101,0,143,3,5385,2,12,4,4,690,4,96,454,7,162,102,3101,5385,-2284,IVAN CEPEDA,2284,0.2269700884428103,162,102,4,3572.0,3840.0,0.3889402261486078,3.2101135002596832,13741.0
7,169,BOYACA,NUEVO COLON,3088,3062,1873,0,32,1,850,2,8,2,6,161,1,29,70,2,31,20,1873,850,1023,ABELARDO DE LA ESPRIELLA,1023,0.3340953625081646,31,20,6,1834.0,1891.0,0.23328271698640834,1.7602090215108415,4922.0
7,173,BOYACA,OICATA,1947,1918,877,2,36,0,655,2,2,7,3,209,0,17,79,2,30,26,877,655,222,ABELARDO DE LA ESPRIELLA,222,0.1157455683003128,30,26,3,923.0,982.0,0.601178999641047,4.142489497767549,2870.0
7,176,BOYACA,OTANCHE,4307,4276,3003,0,16,0,643,2,0,3,7,429,3,58,89,5,25,24,3003,643,2360,ABELARDO DE LA ESPRIELLA,2360,0.5519176800748363,25,24,7,3023.0,3079.0,0.14879416335704881,1.1952166256304215,7330.0
7,178,BOYACA,PACHAVITA,1280,1258,831,2,17,1,220,0,3,2,5,137,1,0,20,1,23,17,831,220,611,ABELARDO DE LA ESPRIELLA,611,0.485691573926868,23,17,5,666.0,711.0,0.14400230727136518,0.9458183735814137,1946.0
7,179,BOYACA,PAEZ,1616,1599,1178,0,14,0,252,1,2,5,6,69,1,23,29,2,23,11,1178,252,926,ABELARDO DE LA ESPRIELLA,926,0.5791119449656035,23,11,6,790.0,830.0,0.12523526252143194,0.8419103071931222,2406.0
7,181,BOYACA,PAIPA,21582,21309,9133,7,338,4,7950,12,35,31,22,2120,8,193,1092,19,367,251,9133,7950,1183,ABELARDO DE LA ESPRIELLA,1183,0.0555164484490121,367,251,22,9144.0,9784.0,1.5212869380197531,13.978506103597148,30726.0
7,184,BOYACA,PAJARITO,1079,1073,776,0,1,0,187,0,1,0,2,68,2,11,20,0,7,4,776,187,589,ABELARDO DE LA ESPRIELLA,589,0.548928238583411,7,4,2,703.0,716.0,0.12486657129289569,0.8210071762064285,1782.0
7,187,BOYACA,PANQUEBA,884,880,584,0,0,0,145,1,1,1,3,119,1,6,13,0,9,1,584,145,439,ABELARDO DE LA ESPRIELLA,439,0.4988636363636363,9,1,3,695.0,708.0,0.1332588367758785,0.8746917522305927,1579.0
7,190,BOYACA,PAUNA,3879,3814,2325,1,24,2,844,3,5,2,18,445,3,29,75,20,36,47,2325,844,1481,ABELARDO DE LA ESPRIELLA,1481,0.3883062401678028,36,47,18,2994.0,3095.0,0.20704410606884538,1.664192829266409,6873.0
7,193,BOYACA,PAYA,978,962,755,0,6,1,115,0,4,3,7,47,3,10,7,2,9,9,755,115,640,ABELARDO DE LA ESPRIELLA,640,0.6652806652806653,9,9,7,785.0,810.0,0.10173626708152146,0.6814567877371087,1763.0
7,199,BOYACA,PAZ DE RIO,2381,2351,854,1,26,0,1103,1,4,4,8,170,1,22,102,3,60,22,854,1103,-249,IVAN CEPEDA,249,0.105912377711612,60,22,8,1666.0,1756.0,0.669731866628841,5.003809947313366,4047.0
7,202,BOYACA,PESCA,3590,3552,2246,2,26,1,659,0,5,5,3,441,1,37,79,4,46,35,2246,659,1587,ABELARDO DE LA ESPRIELLA,1587,0.4467905405405405,46,35,3,2826.0,2910.0,0.17897804070869194,1.4275739450904874,6416.0
7,205,BOYACA,PISBA,713,704,492,0,8,0,126,1,2,2,4,47,3,5,10,1,7,5,492,126,366,ABELARDO DE LA ESPRIELLA,366,0.5198863636363636,7,5,4,538.0,554.0,0.12376611765976402,0.7820741510542383,1251.0
7,214,BOYACA,PUERTO BOYACA,24642,23846,12009,11,181,10,8243,19,45,38,82,1663,12,502,591,33,489,714,12009,8243,3766,ABELARDO DE LA ESPRIELLA,3766,0.1579300511616204,489,714,82,15182.0,16467.0,0.600215008125051,5.827592181113736,39824.0
7,215,BOYACA,QUIPAMA,2445,2410,1681,2,11,0,445,2,3,2,10,187,0,26,18,5,28,25,1681,445,1236,ABELARDO DE LA ESPRIELLA,1236,0.512863070539419,28,25,10,2520.0,2583.0,0.14894524622186037,1.1702767802961702,4965.0
7,217,BOYACA,RAMIRIQUI,5865,5806,3528,2,36,2,1504,1,11,7,11,436,4,49,163,1,62,48,3528,1504,2024,ABELARDO DE LA ESPRIELLA,2024,0.3486048914915604,62,48,11,3585.0,3706.0,0.24168157130606288,1.9861338850964443,9450.0
7,220,BOYACA,RAQUIRA,3786,3735,2248,0,23,0,884,2,9,10,11,302,0,44,143,7,63,40,2248,884,1364,ABELARDO DE LA ESPRIELLA,1364,0.365194109772423,63,40,11,1760.0,1874.0,0.2192404034364543,1.6522754702997506,5546.0
7,223,BOYACA,RONDON,1359,1347,917,2,6,0,276,1,5,1,3,97,0,14,18,1,9,9,917,276,641,ABELARDO DE LA ESPRIELLA,641,0.4758723088344469,9,9,3,900.0,921.0,0.14831833715240003,1.012501836053573,2259.0
7,226,BOYACA,SABOYA,6565,6447,3777,4,66,1,1767,1,12,13,19,550,2,46,114,10,84,99,3777,1767,2010,ABELARDO DE LA ESPRIELLA,2010,0.3117729176361098,84,99,19,3949.0,4151.0,0.2725998616858771,2.2711236104702093,10514.0
7,232,BOYACA,SACHICA,3142,3111,1648,0,25,2,837,4,1,4,8,244,6,34,265,6,35,23,1648,837,811,ABELARDO DE LA ESPRIELLA,811,0.2606878817100611,35,23,8,1293.0,1359.0,0.2971326545720031,2.143883408254117,4435.0
7,235,BOYACA,SAMACA,10612,10466,5988,5,133,3,2519,4,18,17,18,913,10,163,516,7,170,128,5988,2519,3469,ABELARDO DE LA ESPRIELLA,3469,0.3314542327536786,170,128,18,5745.0,6061.0,0.2710753548201597,2.3610107856546048,16357.0
7,237,BOYACA,SAN EDUARDO,949,942,556,0,10,0,267,0,1,0,0,50,0,15,17,0,26,7,556,267,289,ABELARDO DE LA ESPRIELLA,289,0.3067940552016985,26,7,0,600.0,633.0,0.21619933108507197,1.3949286680774662,1549.0
7,238,BOYACA,SAN JOSE DE PARE,3004,2959,1943,3,23,0,528,1,7,2,12,354,7,20,47,1,23,33,1943,528,1415,ABELARDO DE LA ESPRIELLA,1415,0.478202095302467,23,33,12,2500.0,2568.0,0.16372204511670632,1.2854263081343573,5504.0
7,241,BOYACA,SAN LUIS DE GACENO,2650,2632,2132,1,4,0,298,0,1,2,5,108,0,15,51,0,20,13,2132,298,1834,ABELARDO DE LA ESPRIELLA,1834,0.6968085106382979,20,13,5,1541.0,1579.0,0.11142875391219945,0.8206928437814175,4191.0
7,247,BOYACA,SAN MATEO,2022,2014,1600,2,5,0,219,0,3,2,2,107,0,30,30,0,16,6,1600,219,1381,ABELARDO DE LA ESPRIELLA,1381,0.685700099304866,16,6,2,1502.0,1526.0,0.10936284876174328,0.8017456394228448,3524.0
7,248,BOYACA,SAN MIGUEL DE SEMA,1845,1816,1105,1,21,1,389,1,4,2,6,207,2,20,40,3,20,23,1105,389,716,ABELARDO DE LA ESPRIELLA,716,0.394273127753304,20,23,6,1036.0,1085.0,0.1856403889643599,1.2976739357123293,2881.0
7,249,BOYACA,SAN PABLO DE BORBUR,3485,3446,2415,1,11,0,500,1,4,5,6,326,5,70,74,3,31,33,2415,500,1915,ABELARDO DE LA ESPRIELLA,1915,0.5557167730702264,31,33,6,2579.0,2649.0,0.14398122796167714,1.1349053812154266,6064.0
7,250,BOYACA,SANTANA,3903,3868,2392,0,14,3,935,2,3,6,10,376,3,28,65,5,36,25,2392,935,1457,ABELARDO DE LA ESPRIELLA,1457,0.3766804550155119,36,25,10,3356.0,3427.0,0.2136325032091195,1.7389113823681588,7259.0
7,251,BOYACA,SANTA MARIA,1951,1908,1072,0,10,1,625,0,4,1,3,67,0,22,48,1,57,40,1072,625,447,ABELARDO DE LA ESPRIELLA,447,0.2342767295597484,57,40,3,1183.0,1283.0,0.30925315061081204,2.21355224974309,3134.0
7,253,BOYACA,SANTA ROSA DE VITERBO,6325,6258,3449,3,92,2,1649,3,13,7,10,533,4,53,359,5,86,57,3449,1649,1800,ABELARDO DE LA ESPRIELLA,1800,0.2876318312559923,86,57,10,2642.0,2795.0,0.2937110479761126,2.3308747529869147,8967.0
7,256,BOYACA,SANTA SOFIA,2127,2113,1505,0,16,1,300,2,3,1,2,195,2,11,59,0,18,12,1505,300,1205,ABELARDO DE LA ESPRIELLA,1205,0.5702792238523426,18,12,2,1146.0,1178.0,0.1319422934979731,0.9331515661421945,3273.0
7,259,BOYACA,SATIVANORTE,1351,1341,937,0,9,0,175,0,4,1,2,159,2,10,33,1,10,8,937,175,762,ABELARDO DE LA ESPRIELLA,762,0.5682326621923938,10,8,2,1128.0,1148.0,0.12455049305283543,0.8776633928254831,2479.0
7,262,BOYACA,SATIVASUR,612,606,371,0,6,0,134,0,3,2,1,61,0,2,16,1,10,5,371,134,237,ABELARDO DE LA ESPRIELLA,237,0.3910891089108911,10,5,1,642.0,658.0,0.15977818017699563,1.0370759943748076,1254.0
7,265,BOYACA,SIACHOQUE,3740,3668,1880,2,44,0,854,2,12,13,13,615,2,60,94,5,85,59,1880,854,1026,ABELARDO DE LA ESPRIELLA,1026,0.2797164667393675,85,59,13,2558.0,2715.0,0.28330023891044503,2.240031046987342,6298.0
7,268,BOYACA,SOATA,4952,4898,2807,1,50,0,1301,1,5,8,9,500,6,27,133,4,55,45,2807,1301,1506,ABELARDO DE LA ESPRIELLA,1506,0.3074724377296856,55,45,9,2709.0,2818.0,0.267638552889849,2.1261574620797767,7661.0
7,271,BOYACA,SOCOTA,3157,3112,1997,2,12,1,562,1,5,10,14,356,0,47,64,8,47,31,1997,562,1435,ABELARDO DE LA ESPRIELLA,1435,0.4611182519280206,47,31,14,2663.0,2755.0,0.1707287318528789,1.3524337328015543,5820.0
7,274,BOYACA,SOCHA,3964,3903,1879,0,25,0,1120,2,7,8,5,641,7,53,93,9,59,56,1879,1120,759,ABELARDO DE LA ESPRIELLA,759,0.1944657955418908,59,56,5,2870.0,2990.0,0.40445674180445895,3.2370141461716373,6834.0
7,277,BOYACA,SOGAMOSO,71271,70423,29674,19,1111,15,27481,30,115,72,76,6297,30,500,3867,45,1167,772,29674,27481,2193,ABELARDO DE LA ESPRIELLA,2193,0.0311403944733964,1167,772,76,30182.0,32197.0,2.7132188536400355,28.16228816938716,101453.0
7,280,BOYACA,SOMONDOCO,1728,1704,1009,0,11,1,436,0,2,3,5,141,1,18,58,1,23,19,1009,436,573,ABELARDO DE LA ESPRIELLA,573,0.3362676056338028,23,19,5,1152.0,1199.0,0.2149008532316253,1.5236635614860643,2880.0
7,281,BOYACA,SORA,1851,1820,910,0,19,1,612,1,1,6,6,146,2,8,80,2,32,25,910,612,298,ABELARDO DE LA ESPRIELLA,298,0.1637362637362637,32,25,6,1117.0,1180.0,0.4320998344435246,3.0567247051130337,2968.0
7,282,BOYACA,SORACA,4033,3961,1921,4,37,1,1207,3,8,12,10,516,6,69,110,6,61,62,1921,1207,714,ABELARDO DE LA ESPRIELLA,714,0.1802575107296137,61,62,10,2383.0,2516.0,0.43543638279973607,3.409825239346717,6416.0
7,283,BOYACA,SOTAQUIRA,4207,4128,2145,9,51,2,1132,2,12,15,15,529,7,54,105,11,54,64,2145,1132,1013,ABELARDO DE LA ESPRIELLA,1013,0.2453972868217054,54,64,15,2063.0,2196.0,0.32599369513656506,2.508471956631134,6270.0
7,286,BOYACA,SUSACON,1400,1380,892,2,11,0,219,0,3,3,10,198,3,9,19,1,20,10,892,219,673,ABELARDO DE LA ESPRIELLA,673,0.4876811594202898,20,10,10,1101.0,1141.0,0.14528504880175924,1.022884673043087,2501.0
7,289,BOYACA,SUTAMARCHAN,4207,4183,2519,0,21,0,1006,1,4,4,2,392,3,31,157,3,42,22,2519,1006,1513,ABELARDO DE LA ESPRIELLA,1513,0.3617021276595745,42,22,2,2053.0,2119.0,0.2243469268860925,1.7183115588298303,6260.0
7,292,BOYACA,SUTATENZA,2395,2371,1349,4,17,1,614,0,4,3,2,264,2,16,67,2,28,22,1349,614,735,ABELARDO DE LA ESPRIELLA,735,0.3099957823703079,28,22,2,1543.0,1595.0,0.24286222470033167,1.7911710259814244,3938.0
7,298,BOYACA,TASCO,2894,2855,1626,2,19,0,787,1,3,4,8,283,1,31,60,4,34,31,1626,787,839,ABELARDO DE LA ESPRIELLA,839,0.2938704028021016,34,31,8,2040.0,2113.0,0.26186088707828714,2.0048952421718673,4934.0
7,301,BOYACA,TENZA,2238,2206,1331,2,30,0,513,0,11,8,3,193,3,20,60,3,32,29,1331,513,818,ABELARDO DE LA ESPRIELLA,818,0.370806890299184,32,29,3,1355.0,1419.0,0.20218618944125852,1.4675506941229954,3593.0
7,304,BOYACA,TIBANA,4212,4164,2736,1,48,1,944,0,16,6,13,255,8,25,77,7,40,35,2736,944,1792,ABELARDO DE LA ESPRIELLA,1792,0.4303554274735831,40,35,13,3330.0,3418.0,0.18926692018803218,1.5400844978086279,7542.0
7,307,BOYACA,TIBASOSA,7010,6912,2825,3,112,1,2906,3,10,11,12,615,2,54,262,3,105,86,2825,2906,-81,IVAN CEPEDA,81,0.01171875,105,86,12,3325.0,3528.0,4.070749456550337,33.253015320410896,10335.0
7,310,BOYACA,TINJACA,2289,2278,1237,1,17,0,732,0,3,0,4,162,2,15,88,0,21,7,1237,732,505,ABELARDO DE LA ESPRIELLA,505,0.2216856892010535,21,7,4,827.0,859.0,0.33370606772938866,2.2548293375291437,3116.0
7,311,BOYACA,TIPACOQUE,1981,1960,1268,2,7,0,394,0,3,4,10,215,0,12,31,3,21,11,1268,394,874,ABELARDO DE LA ESPRIELLA,874,0.4459183673469388,21,11,10,1638.0,1680.0,0.1662843695092305,1.2350179794780318,3619.0
7,313,BOYACA,TOCA,4950,4866,2430,2,80,1,1443,2,13,12,8,514,5,57,128,11,168,76,2430,1443,987,ABELARDO DE LA ESPRIELLA,987,0.2028360049321824,168,76,8,3065.0,3317.0,0.3989096211676574,3.2340071590187347,8015.0
7,316,BOYACA,TOGUI,2326,2288,1471,2,19,1,440,2,4,5,8,262,2,14,30,4,32,30,1471,440,1031,ABELARDO DE LA ESPRIELLA,1031,0.4506118881118881,32,30,8,2143.0,2213.0,0.16794769131259224,1.293626516429152,4469.0
7,319,BOYACA,TOPAGA,2471,2440,1460,0,35,0,580,1,2,5,5,235,0,20,62,3,37,26,1460,580,880,ABELARDO DE LA ESPRIELLA,880,0.360655737704918,37,26,5,1005.0,1073.0,0.21044225886509096,1.468707096633107,3476.0
7,322,BOYACA,TOTA,2180,2153,1410,1,10,1,411,3,4,10,6,210,3,18,40,2,30,21,1410,411,999,ABELARDO DE LA ESPRIELLA,999,0.4640037157454714,30,21,6,2311.0,2368.0,0.1619202888662094,1.2581567857723137,4491.0
7,324,BOYACA,TUNUNGUA,957,950,645,0,1,0,230,1,0,5,6,40,2,10,9,2,5,1,645,230,415,ABELARDO DE LA ESPRIELLA,415,0.4368421052631579,5,1,6,621.0,633.0,0.15346615687675194,0.9901711570181466,1578.0
7,325,BOYACA,TURMEQUE,3602,3561,2076,1,48,2,909,1,9,3,6,261,0,33,163,2,53,35,2076,909,1167,ABELARDO DE LA ESPRIELLA,1167,0.3277169334456613,53,35,6,2114.0,2208.0,0.24215775562126093,1.8646862040813763,5716.0
7,328,BOYACA,TUTA,5751,5685,2750,1,92,0,1947,2,21,12,8,485,3,58,209,7,98,58,2750,1947,803,ABELARDO DE LA ESPRIELLA,803,0.1412489006156552,98,58,8,2873.0,3037.0,0.5716248023634266,4.583833385920161,8624.0
7,331,BOYACA,TUTAZA,1322,1306,727,0,16,0,336,1,4,4,2,129,1,12,53,0,23,14,727,336,391,ABELARDO DE LA ESPRIELLA,391,0.2993874425727412,23,14,2,773.0,812.0,0.23192569336220445,1.5540717086155693,2095.0
7,334,BOYACA,UMBITA,3802,3780,2703,0,30,3,632,3,13,5,5,240,1,18,87,5,40,17,2703,632,2071,ABELARDO DE LA ESPRIELLA,2071,0.5478835978835979,40,17,5,1944.0,2006.0,0.14766062015699793,1.122869880782878,5746.0
7,337,BOYACA,VENTAQUEMADA,7035,6924,3623,2,106,1,2205,2,10,12,19,516,4,57,236,5,145,92,3623,2205,1418,ABELARDO DE LA ESPRIELLA,1418,0.2047949162333911,145,92,19,4940.0,5196.0,0.41169006632573457,3.522353025842987,11975.0
7,340,BOYACA,VIRACACHA,1521,1504,1073,0,15,9,221,3,5,4,4,109,2,10,33,5,15,13,1073,221,852,ABELARDO DE LA ESPRIELLA,852,0.5664893617021277,15,13,4,964.0,996.0,0.12691558011721712,0.8763204495345083,2485.0
7,346,BOYACA,ZETAQUIRA,2831,2815,1889,0,23,2,632,3,6,3,3,141,1,29,52,3,31,13,1889,632,1257,ABELARDO DE LA ESPRIELLA,1257,0.4465364120781527,31,13,3,1808.0,1855.0,0.17398552464021622,1.3094461867746616,4639.0
9,1,CALDAS,MANIZALES,234757,230488,98540,109,2928,66,73993,170,3994,407,469,25176,138,2145,18129,163,4530,3800,98540,73993,24547,ABELARDO DE LA ESPRIELLA,24547,0.1065001214813786,4530,3800,469,113876.0,122675.0,1.0599094885846156,12.419279583708073,348633.0
9,4,CALDAS,AGUADAS,11026,10770,5965,8,57,2,1608,9,108,42,67,2250,15,154,349,25,178,189,5965,1608,4357,ABELARDO DE LA ESPRIELLA,4357,0.4045496750232126,178,189,67,7933.0,8367.0,0.2239686381573181,2.0229228562317947,18959.0
9,7,CALDAS,ANSERMA,15704,15264,7569,13,119,3,3630,12,334,43,75,2440,17,236,507,30,311,365,7569,3630,3939,ABELARDO DE LA ESPRIELLA,3939,0.2580581761006289,311,365,75,13746.0,14497.0,0.3593741494962882,3.4434390025599453,29450.0
9,13,CALDAS,ARANZAZU,6021,5859,2967,4,36,0,679,5,507,13,36,1190,6,92,193,25,142,126,2967,679,2288,ABELARDO DE LA ESPRIELLA,2288,0.3905103259941969,142,126,36,5157.0,5461.0,0.21662125342298333,1.8641494252461304,11178.0
9,22,CALDAS,BELALCAZAR,5331,5229,1930,3,19,2,1331,3,509,12,31,1158,4,77,81,7,93,71,1930,1331,599,ABELARDO DE LA ESPRIELLA,599,0.1145534519028494,93,71,31,4997.0,5192.0,0.6874290857661162,5.881001779131913,10328.0
9,34,CALDAS,CHINCHINA,27154,26429,11936,15,268,7,8441,20,461,86,110,2991,41,373,1138,38,614,615,11936,8441,3495,ABELARDO DE LA ESPRIELLA,3495,0.1322410987929925,614,615,110,20569.0,21908.0,0.7158447940856291,7.1546201686212285,47723.0
9,37,CALDAS,FILADELFIA,4715,4588,2313,5,21,3,744,7,447,9,36,757,4,63,135,11,69,91,2313,744,1569,ABELARDO DE LA ESPRIELLA,1569,0.3419790758500436,69,91,36,4467.0,4663.0,0.2395431431266936,2.023571537479737,9182.0
9,49,CALDAS,LA DORADA,31577,30571,13888,18,158,7,11685,20,586,41,108,2119,45,577,800,32,595,898,13888,11685,2203,ABELARDO DE LA ESPRIELLA,2203,0.0720617578751104,595,898,108,25699.0,27300.0,1.2585447964788534,12.855630612997473,57276.0
9,52,CALDAS,LA MERCED,2862,2808,1233,4,13,2,657,7,140,11,22,534,8,65,82,5,47,32,1233,657,576,ABELARDO DE LA ESPRIELLA,576,0.2051282051282051,47,32,22,2785.0,2886.0,0.3691093793290412,2.941053634855833,5647.0
9,55,CALDAS,MANZANARES,7956,7793,3948,5,39,3,1188,3,366,25,41,1728,8,116,211,13,140,122,3948,1188,2760,ABELARDO DE LA ESPRIELLA,2760,0.354163993327345,140,122,41,7432.0,7735.0,0.24607346278311384,2.2032532084508776,15388.0
9,58,CALDAS,MARMATO,3203,3090,1261,2,18,0,1092,5,90,10,23,340,14,81,87,5,85,90,1261,1092,169,ABELARDO DE LA ESPRIELLA,169,0.0546925566343042,85,90,23,4611.0,4809.0,1.2422217269228732,10.532117736123158,7814.0
9,61,CALDAS,MARQUETALIA,6787,6666,2878,9,29,2,844,4,374,13,22,2136,6,64,173,30,104,99,2878,844,2034,ABELARDO DE LA ESPRIELLA,2034,0.3051305130513051,104,99,22,5540.0,5765.0,0.2794056715537593,2.4195787597148493,12327.0
