departamento,municipio,partido,candidato,votos,codigo_candidato,nombre_candidato,tipo_registro,estado_primera_vuelta,bloque_referencia_2v,departamento_nombre,municipio_nombre,potencial,puestos,mesas,total_votos_mmv,votos_validos,pct_validos,pct_total_mmv,abstencion_estimada
1,19,22,8,13,8,ROY BARRERAS,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANDES,36323.0,9,111.0,17719,17551,0.0007406985356959,0.0007336757153338,18604.0
1,19,26,1,2566,1,IVAN CEPEDA,CANDIDATO,PASA_A_SEGUNDA,CEPEDA,ANTIOQUIA,ANDES,36323.0,9,111.0,17719,17551,0.1462024955842971,0.1448162988881991,18604.0
1,19,1001,3,243,3,SANTIAGO BOTERO,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,ANDES,36323.0,9,111.0,17719,17551,0.0138453649364708,0.0137140922173937,18604.0
1,19,1002,7,17,7,SONDRA MACOLLINS,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,ANDES,36323.0,9,111.0,17719,17551,0.0009686057774485,0.0009594220892826,18604.0
1,19,1003,4,10148,4,ABELARDO DE LA ESPRIELLA,CANDIDATO,PASA_A_SEGUNDA,ABELARDO,ANTIOQUIA,ANDES,36323.0,9,111.0,17719,17551,0.5782006723263632,0.5727185507082793,18604.0
1,19,1004,2,52,2,CLAUDIA LOPEZ,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANDES,36323.0,9,111.0,17719,17551,0.0029627941427838,0.0029347028613352,18604.0
1,19,1005,13,9,13,LUIS GILBERTO MURILLO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANDES,36323.0,9,111.0,17719,17551,0.0005127912939433,0.0005079293413849,18604.0
1,19,1006,9,13,9,CARLOS CAICEDO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANDES,36323.0,9,111.0,17719,17551,0.0007406985356959,0.0007336757153338,18604.0
1,19,3001,5,19,5,MAURICIO LIZCANO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANDES,36323.0,9,111.0,17719,17551,0.0010825593983248,0.0010722952762571,18604.0
1,22,0,996,65,996,VOTO EN BLANCO,VOTO_EN_BLANCO,NO_APLICA,INDEFINIDO,ANTIOQUIA,ANGELOPOLIS,5986.0,3,19.0,2955,2899,0.0224215246636771,0.0219966159052453,3031.0
1,22,0,997,39,997,VOTO NULO,VOTO_NULO,NO_APLICA,INDEFINIDO,ANTIOQUIA,ANGELOPOLIS,5986.0,3,19.0,2955,2899,,0.0131979695431472,3031.0
1,22,0,998,17,998,NO MARCADOS,NO_MARCADO,NO_APLICA,INDEFINIDO,ANTIOQUIA,ANGELOPOLIS,5986.0,3,19.0,2955,2899,,0.0057529610829103,3031.0
1,22,9,11,410,11,PALOMA VALENCIA,CANDIDATO,ELIMINADO,ABELARDO,ANTIOQUIA,ANGELOPOLIS,5986.0,3,19.0,2955,2899,0.1414280786478096,0.1387478849407783,3031.0
1,22,15,12,131,12,SERGIO FAJARDO,CANDIDATO,ELIMINADO,DIVIDIDO,ANTIOQUIA,ANGELOPOLIS,5986.0,3,19.0,2955,2899,0.0451879958606416,0.044331641285956,3031.0
1,22,20,6,5,6,MIGUEL URIBE,CANDIDATO,ELIMINADO,ABELARDO,ANTIOQUIA,ANGELOPOLIS,5986.0,3,19.0,2955,2899,0.0017247326664367,0.0016920473773265,3031.0
1,22,21,10,0,10,GUSTAVO MATAMORROS,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,ANGELOPOLIS,5986.0,3,19.0,2955,2899,0.0,0.0,3031.0
1,22,22,8,7,8,ROY BARRERAS,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANGELOPOLIS,5986.0,3,19.0,2955,2899,0.0024146257330113,0.0023688663282571,3031.0
1,22,26,1,544,1,IVAN CEPEDA,CANDIDATO,PASA_A_SEGUNDA,CEPEDA,ANTIOQUIA,ANGELOPOLIS,5986.0,3,19.0,2955,2899,0.1876509141083132,0.1840947546531303,3031.0
1,22,1001,3,85,3,SANTIAGO BOTERO,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,ANGELOPOLIS,5986.0,3,19.0,2955,2899,0.0293204553294239,0.0287648054145516,3031.0
1,22,1002,7,6,7,SONDRA MACOLLINS,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,ANGELOPOLIS,5986.0,3,19.0,2955,2899,0.002069679199724,0.0020304568527918,3031.0
1,22,1003,4,1619,4,ABELARDO DE LA ESPRIELLA,CANDIDATO,PASA_A_SEGUNDA,ABELARDO,ANTIOQUIA,ANGELOPOLIS,5986.0,3,19.0,2955,2899,0.5584684373922042,0.5478849407783418,3031.0
