departamento,municipio,departamento_nombre,municipio_nombre,potencial,total_votos_mmv,votos_validos,voto_blanco,voto_nulo,no_marcados,abstencion_estimada,bolsa_indefinida,ganador,codigo_ganador,votos_ganador,pct_validos_ganador,segundo,codigo_segundo,votos_segundo,pct_validos_segundo,margen_votos,margen_pp,categoria_territorial
48,11,LA GUAJIRA,MANAURE,63985.0,13466,13180,165,212,74,50519.0,50970.0,IVAN CEPEDA,1,7997,0.606752655538695,ABELARDO DE LA ESPRIELLA,4.0,3967.0,0.3009863429438543,4030.0,0.3057663125948406,CONSOLIDADO
48,12,LA GUAJIRA,LA JAGUA DEL PILAR,5367.0,2586,2556,40,23,7,2781.0,2851.0,IVAN CEPEDA,1,1435,0.5614241001564946,ABELARDO DE LA ESPRIELLA,4.0,992.0,0.3881064162754303,443.0,0.1733176838810642,VENTAJA_DEFENDIBLE
48,13,LA GUAJIRA,SAN JUAN DEL CESAR,36558.0,18906,18711,239,156,39,17652.0,18086.0,ABELARDO DE LA ESPRIELLA,4,10232,0.546844102399658,IVAN CEPEDA,1.0,7360.0,0.3933515044626156,2872.0,0.1534925979370424,VENTAJA_DEFENDIBLE
48,16,LA GUAJIRA,URIBIA,131218.0,22886,22269,295,445,172,108332.0,109244.0,IVAN CEPEDA,1,12551,0.5636086038888141,ABELARDO DE LA ESPRIELLA,4.0,8026.0,0.3604113341416318,4525.0,0.2031972697471822,CONSOLIDADO
48,18,LA GUAJIRA,URUMITA,9383.0,5345,5310,68,28,7,4038.0,4141.0,IVAN CEPEDA,1,3036,0.5717514124293785,ABELARDO DE LA ESPRIELLA,4.0,2087.0,0.3930320150659134,949.0,0.1787193973634651,VENTAJA_DEFENDIBLE
48,20,LA GUAJIRA,VILLANUEVA,20312.0,10080,9962,124,102,16,10232.0,10474.0,IVAN CEPEDA,1,5027,0.504617546677374,ABELARDO DE LA ESPRIELLA,4.0,4316.0,0.4332463360770929,711.0,0.071371210600281,RESERVA_DEFINIBLE
50,1,GUAINIA,INIRIDA,27879.0,9623,9524,200,71,28,18256.0,18555.0,IVAN CEPEDA,1,4926,0.5172196556068879,ABELARDO DE LA ESPRIELLA,4.0,3351.0,0.3518479630407392,1575.0,0.1653716925661487,VENTAJA_DEFENDIBLE
50,70,GUAINIA,BARRANCOMINAS,5484.0,1724,1700,25,10,14,3760.0,3809.0,IVAN CEPEDA,1,1457,0.8570588235294118,ABELARDO DE LA ESPRIELLA,4.0,124.0,0.0729411764705882,1333.0,0.7841176470588236,CONSOLIDADO
50,73,GUAINIA,CACAHUAL,265.0,41,41,3,0,0,224.0,227.0,IVAN CEPEDA,1,31,0.7560975609756098,ABELARDO DE LA ESPRIELLA,4.0,4.0,0.0975609756097561,27.0,0.6585365853658537,VENTAJA_DEFENDIBLE
50,78,GUAINIA,LA GUADALUPE,211.0,63,63,0,0,0,148.0,148.0,IVAN CEPEDA,1,25,0.3968253968253968,ABELARDO DE LA ESPRIELLA,4.0,24.0,0.3809523809523809,1.0,0.0158730158730158,BISAGRA
50,83,GUAINIA,MORICHAL (MORICHAL NUEVO),238.0,56,56,0,0,0,182.0,182.0,IVAN CEPEDA,1,43,0.7678571428571429,PALOMA VALENCIA,11.0,7.0,0.125,36.0,0.6428571428571429,VENTAJA_DEFENDIBLE
50,87,GUAINIA,PANA PANA (CAMPO ALEGRE),624.0,247,246,14,0,1,377.0,392.0,IVAN CEPEDA,1,144,0.5853658536585366,PALOMA VALENCIA,11.0,39.0,0.1585365853658536,105.0,0.4268292682926828,VENTAJA_DEFENDIBLE
50,90,GUAINIA,PUERTO COLOMBIA,1274.0,226,226,1,0,0,1048.0,1049.0,ABELARDO DE LA ESPRIELLA,4,115,0.5088495575221239,IVAN CEPEDA,1.0,88.0,0.3893805309734513,27.0,0.1194690265486725,VENTAJA_DEFENDIBLE
50,92,GUAINIA,SAN FELIPE,925.0,154,153,4,1,0,771.0,776.0,IVAN CEPEDA,1,64,0.4183006535947712,ABELARDO DE LA ESPRIELLA,4.0,64.0,0.4183006535947712,0.0,0.0,BISAGRA
52,1,META,VILLAVICENCIO,405049.0,260921,258018,3746,2703,200,144128.0,150777.0,ABELARDO DE LA ESPRIELLA,4,136730,0.5299242688494601,IVAN CEPEDA,1.0,78547.0,0.3044244975156772,58183.0,0.2254997713337829,CONSOLIDADO
52,5,META,ACACIAS,78857.0,59158,57447,1128,1629,82,19699.0,22538.0,ABELARDO DE LA ESPRIELLA,4,30711,0.5345971068985326,IVAN CEPEDA,1.0,17424.0,0.3033056556478145,13287.0,0.231291451250718,CONSOLIDADO
52,6,META,BARRANCA DE UPIA,5885.0,3711,3611,82,94,6,2174.0,2356.0,ABELARDO DE LA ESPRIELLA,4,1818,0.5034616449736915,IVAN CEPEDA,1.0,1226.0,0.3395181390196621,592.0,0.1639435059540293,VENTAJA_DEFENDIBLE
52,8,META,CABUYARO,6452.0,4255,4160,100,84,11,2197.0,2392.0,ABELARDO DE LA ESPRIELLA,4,2468,0.5932692307692308,IVAN CEPEDA,1.0,1065.0,0.2560096153846153,1403.0,0.3372596153846154,CONSOLIDADO
52,10,META,CASTILLA LA NUEVA,13442.0,10159,9888,204,254,17,3283.0,3758.0,ABELARDO DE LA ESPRIELLA,4,5026,0.5082928802588996,IVAN CEPEDA,1.0,3122.0,0.3157362459546926,1904.0,0.192556634304207,VENTAJA_DEFENDIBLE
52,15,META,CUBARRAL,5858.0,3933,3904,49,26,3,1925.0,2003.0,ABELARDO DE LA ESPRIELLA,4,2654,0.6798155737704918,IVAN CEPEDA,1.0,740.0,0.1895491803278688,1914.0,0.490266393442623,CONSOLIDADO
52,20,META,CUMARAL,19932.0,13359,13168,235,167,24,6573.0,6999.0,ABELARDO DE LA ESPRIELLA,4,7338,0.5572600243013366,IVAN CEPEDA,1.0,3842.0,0.2917679222357229,3496.0,0.2654921020656136,CONSOLIDADO
52,25,META,EL CALVARIO,1484.0,774,769,7,4,1,710.0,722.0,ABELARDO DE LA ESPRIELLA,4,527,0.6853055916775033,PALOMA VALENCIA,11.0,111.0,0.1443433029908972,416.0,0.540962288686606,VENTAJA_DEFENDIBLE
52,27,META,EL CASTILLO,6339.0,3468,3401,80,57,10,2871.0,3018.0,IVAN CEPEDA,1,1529,0.4495736548074096,ABELARDO DE LA ESPRIELLA,4.0,1496.0,0.4398706262863863,33.0,0.0097030285210232,BISAGRA
