territorio,indicador,periodo_fecha,periodo_label,tipo_eleccion,anio,valor,fuente,orden
BOYACA,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,14048,Histórico 2006-2026,1
CALDAS,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,695294,Histórico 2006-2026,1
CALDAS,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,318266,Histórico 2006-2026,1
CALDAS,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,255987,Histórico 2006-2026,1
CALDAS,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,247280,Histórico 2006-2026,1
CALDAS,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,8707,Histórico 2006-2026,1
CALDAS,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,49594,Histórico 2006-2026,1
CALDAS,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,12685,Histórico 2006-2026,1
CAQUETA,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,222532,Histórico 2006-2026,1
CAQUETA,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,60647,Histórico 2006-2026,1
CAQUETA,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,53900,Histórico 2006-2026,1
CAQUETA,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,52466,Histórico 2006-2026,1
CAQUETA,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,1434,Histórico 2006-2026,1
CAQUETA,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,4678,Histórico 2006-2026,1
CAQUETA,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,2069,Histórico 2006-2026,1
CASANARE,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,164696,Histórico 2006-2026,1
CASANARE,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,83482,Histórico 2006-2026,1
CASANARE,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,72238,Histórico 2006-2026,1
CASANARE,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,69899,Histórico 2006-2026,1
CASANARE,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,2339,Histórico 2006-2026,1
CASANARE,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,6987,Histórico 2006-2026,1
CASANARE,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,4257,Histórico 2006-2026,1
CAUCA,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,712418,Histórico 2006-2026,1
CAUCA,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,285936,Histórico 2006-2026,1
CAUCA,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,225097,Histórico 2006-2026,1
CAUCA,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,218013,Histórico 2006-2026,1
CAUCA,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,7084,Histórico 2006-2026,1
CAUCA,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,43558,Histórico 2006-2026,1
CAUCA,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,17281,Histórico 2006-2026,1
CESAR,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,533692,Histórico 2006-2026,1
CESAR,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,214438,Histórico 2006-2026,1
CESAR,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,186192,Histórico 2006-2026,1
CESAR,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,182699,Histórico 2006-2026,1
CESAR,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,3493,Histórico 2006-2026,1
